Timestamp,Demand (MW),Solar Generation (MW),Wind Generation (MW),Market Price (\$/MWh),Competitor Bids (\$/MWh),Operational Constraints,Temperature (Celsius),Regulatory Constraints,Day of Week,Hour of Day,Season,Optimal Bid Price (\$/MWh)
2023-01-01 00:00:00,118,13,26,39.69339479049016,29.366141897687662,Yes,23.137031247571564,No,Monday,11,Spring,246.89741622711475
2023-01-01 01:00:00,108,7,2,38.74776132994238,30.800888346694546,No,26.35645321952613,No,Thursday,0,Summer,232.91819863947327
2023-01-01 02:00:00,94,8,27,20.863474715940235,30.16698385226268,No,23.559577734706405,No,Sunday,2,Winter,166.78939693951241
2023-01-01 03:00:00,87,5,9,23.296296314588744,32.587762537573255,No,21.485067816436807,Yes,Sunday,2,Spring,163.22525913171486
2023-01-01 04:00:00,100,10,18,22.63457546909124,27.82496065972852,No,25.964670754135437,No,Friday,4,Fall,191.9541945261132
2023-01-01 05:00:00,118,6,2,34.51959819970591,28.530503916003024,Yes,28.143839206690814,No,Monday,18,Spring,247.72109432029868
2023-01-01 06:00:00,98,0,28,36.355706597138905,33.94094302533251,No,23.82123494459973,Yes,Tuesday,0,Spring,175.3752874189343
2023-01-01 07:00:00,102,13,28,24.270227326213437,34.46456513150405,Yes,21.322687150984816,Yes,Tuesday,3,Winter,189.59836408445966
2023-01-01 08:00:00,90,4,21,30.11705385903658,33.925582274864745,Yes,21.96688197312823,No,Monday,3,Spring,165.931441369415
2023-01-01 09:00:00,90,4,14,36.814060560224,29.194479939573135,No,22.37483305169384,No,Thursday,16,Spring,183.59497620684877
2023-01-01 10:00:00,103,9,0,34.65603089532501,32.80365503006882,Yes,22.998975929945363,No,Friday,13,Spring,222.28409407934853
2023-01-01 11:00:00,115,13,6,30.844744109836967,29.763357333010987,No,26.42795070506309,Yes,Wednesday,17,Fall,242.7363602462618
2023-01-01 12:00:00,119,3,11,31.806953809175457,29.975398521461024,Yes,26.009454845377192,No,Monday,0,Spring,234.38821862686092
2023-01-01 13:00:00,103,5,16,30.1672109383256,27.04680109057284,No,26.96079861567039,No,Friday,21,Summer,201.87345272758267
